"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Bicep Curl (Cable)",,"",1,"normal",17.5,9,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Bicep Curl (Cable)",,"",2,"normal",17.5,7,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Leg Press (Machine)",,"",0,"normal",90,12,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Leg Press (Machine)",,"",1,"normal",90,11,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Leg Press (Machine)",,"",2,"normal",90,10,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Incline Bench Press (Dumbbell)",,"",0,"normal",18,10,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Incline Bench Press (Dumbbell)",,"",1,"normal",18,9,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Incline Bench Press (Dumbbell)",,"",2,"normal",18,8,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Leg Extension (Machine)",,"",0,"normal",37.5,8,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Leg Extension (Machine)",,"",1,"normal",56.25,12,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Leg Extension (Machine)",,"",2,"normal",56.25,12,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Leg Extension (Machine)",,"",3,"normal",56.25,12,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Iso-Lateral Row (Machine)",,"",0,"normal",35,10,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Iso-Lateral Row (Machine)",,"",1,"normal",35,9,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Iso-Lateral Row (Machine)",,"",2,"normal",35,8,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Triceps Pushdown",,"",0,"normal",15,15,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Triceps Pushdown",,"",1,"normal",15,15,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Triceps Pushdown",,"",2,"normal",15,15,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Seated Incline Curl (Dumbbell)",,"",0,"normal",8,12,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Seated Incline Curl (Dumbbell)",,"",1,"normal",8,11,,,
"Morning workout ☀️","4 Jul 2026, 12:02","4 Jul 2026, 12:56","","Seated Incline Curl (Dumbbell)",,"",2,"normal",8,7,,,
"Afternoon workout 💪","2 Jul 2026, 18:14","2 Jul 2026, 19:02","","Lat Pulldown (Cable)",,"",0,"normal",28.5,10,,,
"Afternoon workout 💪","2 Jul 2026, 18:14","2 Jul 2026, 19:02","","Lat Pulldown (Cable)",,"",1,"normal",28.5,8,,,
"Afternoon workout 💪","2 Jul 2026, 18:14","2 Jul 2026, 19:02","","Lat Pulldown (Cable)",,"",2,"normal",28.5,6,,,
